Date,AGG,BWX,IWF,IWD,IWO,IWN,EFA,EEM
2008-01-31,0.03142797826338284,0.02599358329025203,-0.07688622441653403,-0.03463400091726876,-0.09028029578205687,-0.032638939215517526,-0.05492091991940973,-0.07753812073405553
2008-02-29,-0.005603704249154462,0.02839973071189661,-0.016613058825016735,-0.038826439529354384,-0.03375042022410102,-0.03172506089410487,-0.010229770119489334,0.019943061570641518
2008-03-31,0.0015861907616703252,0.028719234830193674,-0.01108102528302124,-0.007700324907267908,-0.011461530890608529,-0.0007614317420636674,0.004190356408470874,-0.03753046985365105
2008-04-30,0.002953572995524345,-0.02344302678955623,0.058413289339487084,0.04857231204510848,0.05912971550547441,0.04123626522092372,0.054380782933630245,0.09138289637185748
2008-05-31,-0.011795612765961194,-0.01551460255708248,0.032892324530509276,-0.002483267102113884,0.05520007680583827,0.031103300319654803,0.011871810222386925,0.031637825212987636
2008-06-30,-0.0025743416388385176,-0.0041158771719159715,-0.06925035863684215,-0.09525671460174157,-0.05812494279553404,-0.09334069102099662,-0.10481029837334654,-0.10297416336350951
2008-07-31,0.004016791075756032,0.014666421892113313,-0.022809395142758704,-0.010716819943978773,0.015625215881510446,0.04001851739824547,-0.014904918071550588,-0.044211562734233656
2008-08-31,0.007238017866944002,-0.04238434152761539,0.01578833764178067,0.024171063120704828,0.03307572925157265,0.05856400806681239,-0.04247595212658162,-0.06315782214487164
2008-09-30,-0.01750528633618187,-0.02377933609619043,-0.11210671400783301,-0.08005764691274153,-0.11392386658227249,-0.0357088715440711,-0.11436239015362204,-0.1468164998960758
2008-10-31,-0.022855325752868527,-0.04964564327008758,-0.1749116891018635,-0.16433523016130547,-0.21563855422432798,-0.20668632351221206,-0.20834803227522225,-0.2557799569013758
2008-11-30,0.03002324669346379,0.026027357987882027,-0.0843762343867348,-0.07484874181003054,-0.11897461824180011,-0.11272064824352535,-0.06371997351787584,-0.09752250823552056
2008-12-31,0.06283591406001499,0.08429007620348816,0.013398620409399209,0.009170396638706668,0.04221313983676622,0.04284149639616297,0.07500641884788162,0.08801746755690587
2009-01-31,-0.012254547795538806,-0.06286342198007588,-0.04687003140777235,-0.10815746548929184,-0.06303487861224955,-0.12956939986550797,-0.1263397228399864,-0.08014092114116744
2009-02-28,-0.014099930534301253,-0.03566524289652606,-0.07508495582928343,-0.13176552364191108,-0.10421997847814002,-0.13894754459457104,-0.10387610889489751,-0.06269309437103021
2009-03-31,0.011370662730058934,0.047676480519360576,0.07872019289503207,0.0718045673840606,0.08290182138012181,0.08109531425119276,0.08391018846935627,0.16862891814585357
2009-04-30,0.004938907582797469,0.011245511227772953,0.10623072382651566,0.1165145858732024,0.14912016331040334,0.1598485750863441,0.11519004215839024,0.1555827081757588
2009-05-31,0.007322294010462249,0.053672024322076295,0.05201926514074873,0.06700720992449516,0.043198486360060295,0.0237258434465053,0.13191798029120894,0.15940004123066354
2009-06-30,0.004426913909804542,0.005148929273568914,0.00934774591452503,-0.010397515650142686,0.029603946582629215,-0.0015025343249205347,-0.03456268736499557,-0.0303850233360603
2009-07-31,0.012356437980393986,0.03128371600007562,0.06775562325302031,0.07060313886059277,0.07655676689925639,0.10638403229670423,0.1237963482346276,0.11917968235101206
2009-08-31,0.012312475384883337,0.007628591263620033,0.023916454202583814,0.061952183271463346,0.01209079834808291,0.05650888873601678,0.04503020156844206,-0.013135717678481651
2009-09-30,0.011930641705439449,0.028697194961118777,0.03694561656659845,0.03294868515368288,0.06063539739594681,0.0432607427670606,0.03796528489232487,0.10195423173151252
2009-10-31,0.002149794918953951,0.0011979276908449243,-0.009436178880746215,-0.027549777047697455,-0.06491675360721771,-0.05991045991045996,-0.0252375799945328,-0.03443871986110347
2009-11-30,0.01303418134444101,0.030256086478385402,0.0623357195234977,0.05734454113308374,0.03174607340017466,0.026291229837641206,0.03921214585566646,0.07852032130596265
2009-12-31,-0.02192227528638624,-0.05707629410598769,0.02635386469873069,0.010741630468698471,0.07961969547288494,0.06966457996894904,-0.001986020785041398,0.024185646981683684
2010-01-31,0.02052813515030638,-0.010118649473455643,-0.04111528686723376,-0.022491797215772102,-0.040157747890793405,-0.021435503861396366,-0.04201190373922992,-0.06986979688712969
2010-02-28,-0.0011465290462112643,-0.0005358264205083119,0.034866443806106595,0.03066174174383751,0.04233140689488546,0.04536574405780747,0.0026678009217731002,0.017763850210664955
2010-03-31,-3.29641121445956e-05,0.002775898346098149,0.05439434951823885,0.06245650887768117,0.07769262331050464,0.08221733636575368,0.06385401046299255,0.08110913244323759
2010-04-30,0.009742083754507025,-0.014474673950701233,0.013838099675008486,0.030457727000776647,0.04450782170603884,0.0708883970357066,-0.028045783037980665,-0.0016621867690701508
2010-05-31,0.010932326930597647,-0.036446108526714815,-0.07674746976106495,-0.08202983301019451,-0.06520950301212314,-0.08241634266325393,-0.11192769751273446,-0.0939358196393254
2010-06-30,0.017594391115746344,0.01147992516102958,-0.054661081245376386,-0.05754585698785719,-0.06751604090984664,-0.08838132112370922,-0.03745870470257895,-0.020472344819181587
2010-07-31,0.008686792314163583,0.06102238323525633,0.06698625995741914,0.06179746287407073,0.06354186253419081,0.0652174332324933,0.13562963115453863,0.11666999209127282
2010-08-31,0.013072800947979246,0.01718388663528181,-0.042627798246796855,-0.03648856109566867,-0.07143460469633223,-0.07018920801535189,-0.037950606357347705,-0.03236705327579781
2010-09-30,6.342048928575927e-05,0.03361540263265783,0.10212375241529381,0.07001631625565241,0.13863505709663682,0.10302536539969798,0.09971987153450934,0.11757386949694881
2010-10-31,0.0018200090286744075,0.021347289199136643,0.05242390966393118,0.03681678111451392,0.04791537484952424,0.042282871185898685,0.03805575551572771,0.030153957632855555
2010-11-30,-0.008452349488206057,-0.06841909345857877,0.011318798477065073,-0.006084728845102028,0.04142643762029796,0.02609525293606385,-0.04823733029738675,-0.02905454919492767
2010-12-31,-0.012577418016593844,0.0247152447703729,0.050642355101228276,0.0732960667114364,0.07329685199688751,0.07614256730216806,0.07298186051694078,0.06386775139716128
2011-01-31,0.007604626519022828,0.014654099860067271,0.027956067721784494,0.02741609726708938,-0.0037603222964558425,0.005426489370133236,0.030564188397959935,-0.030359446266239765
2011-02-28,-9.624912846584177e-05,0.006617549996501548,0.03427138623656867,0.03786943295452172,0.05872179555431645,0.050985904114618785,0.03549785324795862,-0.0004367790216103229
2011-03-31,-0.0019356427188353953,0.008427161544243944,-0.0031321640354949887,-0.0017438220226764223,0.036867781198723915,0.010184817606263996,-0.023882934134463296,0.06289580079374346
2011-04-30,0.01539000488743425,0.048804802502978806,0.03620363709118801,0.030624611155681603,0.0373999055476526,0.01947601566511592,0.0562581531332218,0.027327084217578568
2011-05-31,0.012407449779356927,-0.013545525741881614,-0.011047312434181666,-0.010078149005817827,-0.019429130291846675,-0.01697366418024049,-0.02206082357476402,-0.029399929129129254
2011-06-30,-0.004396714973000426,-0.0021003672093925507,-0.014408235785377976,-0.02093496669069206,-0.021155698322454564,-0.02497021291704482,-0.030938191459040976,-0.019163555441441993
2011-07-31,0.016931166443963974,0.016444526461312226,-0.012811890428919837,-0.03924978281006919,-0.039430555363361375,-0.03650696300101697,-0.00480825440477195,-0.0003966783548301489
2011-08-31,0.01528170204852497,0.009543276436378312,-0.050349740500706175,-0.056215066196900754,-0.08691969408021916,-0.08652521806376967,-0.08754884906726235,-0.0925493748831111
2011-09-30,0.00836776340007317,-0.04472741254189316,-0.07559749660034565,-0.08103290617842274,-0.11588405005616953,-0.11292551593813716,-0.10808290505762708,-0.17894740535588283
2011-10-31,0.0013955303009960396,0.02131182648891672,0.11151277991895636,0.12115682421361851,0.16217832103926821,0.15044700073899908,0.09627446087104996,0.16267813297471512
2011-11-30,-0.003927302048477466,-0.028130307165525226,-0.0010296488209460275,-0.006976429858812527,-0.005868261778348649,-0.001991006516673388,-0.02176413206315042,-0.01960311554880989
2011-12-31,0.010590080230904242,-0.0005476892042974857,-0.007044534647909995,0.01357185054570631,-0.005549062619597311,0.007520796422741061,-0.0333725220723895,-0.05173715319075911
2012-01-31,0.012866148486653017,0.03942157240851696,0.0648382613638776,0.04563767641232919,0.07814625807178599,0.07415535969468645,0.06535357997774094,0.12054862001550104
2012-02-29,-0.0026113011916327755,0.0009925970224056169,0.047160619702844686,0.03641288112134622,0.0332336735225196,0.01456066196573591,0.048331441358560934,0.05271934059304617
2012-03-31,-0.005753692831891644,-0.007696166648387459,0.029764643731051255,0.025764891139641977,0.01923456862126849,0.026734475522515178,0.004207574693310567,-0.031130116974022348
2012-04-30,0.009351427505853938,0.010879604221252004,0.0017229579288446928,-0.004522132528045675,-0.015802778294117914,-0.011114598263111897,-0.02076875197368666,-0.016996452444586918
2012-05-31,0.010915852548232907,-0.029188517615740595,-0.0642424546325222,-0.057933686207779944,-0.07075764759406178,-0.06081297604355995,-0.11144185769520631,-0.10705851941016742
2012-06-30,-0.00025230152380484316,0.009891635979102809,0.0238020472631435,0.043598163257723144,0.05053387664569886,0.04296895751669694,0.04606417765169146,0.03793120423630847
2012-07-31,0.013754405097736733,0.013314142469033285,0.014719156278966139,0.0144762449621747,-0.016307075392026582,-0.005921910108782624,0.02411555151218825,0.011709683932526804
2012-08-31,4.931292636367601e-05,0.012327253594298648,0.03253600139365331,0.022816537694903438,0.03575392082877937,0.034526992260167644,0.03199956506678259,0.004090390903178198
2012-09-30,0.002670490045320051,0.02039386343207572,0.01045267853176135,0.0255755195423486,0.028174619086080543,0.02822970451308393,0.027131775142316794,0.05218932948643018
2012-10-31,-0.0003631160233216191,-0.004812246888575289,-0.025540186984886804,0.00038995306664446616,-0.02981476315943765,-0.01035095907724648,0.010943463165722589,-0.004355104555851974
2012-11-30,0.002379436907431476,0.0014298927565676856,0.017451477261350323,-0.0006963137481037496,0.010591030367491427,0.005218331475169258,0.0278089704584219,0.01555266045676107
2012-12-31,-0.00827465304062458,-0.00375573461243639,-0.005919655155287917,0.014912629597221061,0.01924945988419835,0.03155759561616689,0.03250402306048139,0.06125871950058559
2013-01-31,0.001792761358320849,-0.004129015310606499,0.048775975716481845,0.07123981545411495,0.07520702584243955,0.07052891776869541,0.048644673058726884,0.003436289202596976
2013-02-28,0.003986021249058558,-0.025976167002672468,0.010840260139204139,0.012134965425990796,0.01023200571320948,0.009998312030077283,-0.012885937845734663,-0.022840330568256628
2013-03-31,0.0010115690178482684,-0.004638295731093645,0.03434817101156229,0.03533207605709343,0.04830570872703288,0.03712404725672491,0.013054152847962186,-0.010182826733083239
2013-04-30,0.009218105468590032,0.02854189947257857,0.02447700813159659,0.019910732606313264,-0.003985167880895868,0.00403652935608001,0.05018651158009546,0.012158009602271092
2013-05-31,-0.019483910228128676,-0.04302187610705932,0.01934685175181028,0.026701846282225716,0.05130834858466349,0.029580306542996482,-0.030190551820908018,-0.048278925880514856
2013-06-30,-0.01563071521372128,-0.017888023109134177,-0.020864397709994043,-0.009456908944542541,-0.008711953606427736,-0.004865469362648089,-0.04611292019761659,-0.06553418112371967
2013-07-31,0.0026310664244715287,0.02404800838130905,0.05127857323000051,0.04821586215524842,0.07613665276521253,0.05913869234525282,0.07457539780629308,0.026558239099073955
2013-08-31,-0.008326775033662304,-0.010828105317565173,-0.01361633479016211,-0.03284572503159189,-0.018528654915176523,-0.03888336533612535,-0.019552556465883164,-0.025378587738201674
2013-09-30,0.011252831552403642,0.027397646029597267,0.04086262486230274,0.020480618875166057,0.0706140568872744,0.05418146789981804,0.07824911951843894,0.0720676926487116
2013-10-31,0.008410184737647652,0.01177880460809777,0.047621400345032816,0.04887617495596208,0.018636675482712528,0.035549332888823226,0.03260207690449057,0.04170772253624189
2013-11-30,-0.002485992742600196,-0.01353324740747519,0.02743429879768078,0.027228734289330703,0.04134750575062607,0.0377455135957534,0.005464337924659057,-0.0025908150741706937
2013-12-31,-0.007653698136935172,-0.003861430042703784,0.024555756324318834,0.018824559423873843,0.017113167363679294,0.013754899968778878,0.01298312943292057,-0.012987008338807837
2014-01-31,0.01933931999602212,0.008136607897085923,-0.025371216981511235,-0.030105409893423807,-0.013945778520168428,-0.03254163420715894,-0.04379665885801565,-0.07810581696310337
2014-02-28,0.0018497779444386353,0.02206883297954798,0.051288466735690985,0.04284571106272539,0.04762614794257325,0.045587556420793485,0.06131114767325618,0.03377857641092352
2014-03-31,-0.0014214500550320253,0.0019462225134252442,-0.013564220000858884,0.019222770522389077,-0.025916273155418446,0.008400321271477384,-0.004591994286117118,0.03875359223260344
2014-04-30,0.008163736078240502,0.009851141747536207,0.004011231050280006,0.014130793786035323,-0.04964350695859687,-0.021774983435255302,0.01666631582640421,0.0078028341775027155
2014-05-31,0.011868483322963197,0.0021546476419520566,0.03036928932556182,0.01406864371119454,0.009761004716214883,0.005900970378747372,0.0159547184898714,0.029518632586572835
2014-06-30,-0.0006405303125147643,0.01597317428469336,0.01905136389422135,0.02551923737358619,0.061910230666686994,0.044401785095063984,-0.014983504047262786,0.015981352029630802
2014-07-31,-0.002412559643916623,-0.014043083327507921,-0.018695194932488945,-0.022119309829673584,-0.062202251946510745,-0.06672462747342245,-0.002115267214964689,0.02166594196670668
2014-08-31,0.011451232166131753,0.003624158166688485,0.04894003267218894,0.04179423358838186,0.056761597342182224,0.04915979747278687,0.001801991671581904,0.028297683467282564
2014-09-30,-0.006084704054377665,-0.044470175145440605,-0.01737228107749289,-0.024844505484385992,-0.053011868687358854,-0.06951766526166514,-0.03882466493993564,-0.07767408554030764
2014-10-31,0.010681198509024714,-0.0021980768715755827,0.028498972756541896,0.02589140479997476,0.06292649134724315,0.0732489220828676,-0.0026513148572767653,0.014196415737190327
2014-11-30,0.006557867097943149,-0.012973357288711296,0.03288651776833351,0.022015826990164244,0.007556215090722018,-0.00379697563913306,0.0006256017681103287,-0.015421436080203632
2014-12-31,-0.00269044910082461,-0.018437034372594252,-0.0148378333233532,-0.00047862823544431166,0.026753940762797024,0.019859758948845174,-0.04922672808041895,-0.053252952827778643
2015-01-31,0.026577068238962775,-0.007570795963568133,-0.0108979629268251,-0.03383903823159984,-0.02048237719778201,-0.03639076738063174,0.01608737847229169,0.007412815444217902
2015-02-28,-0.010500122026334435,-0.010833874128365673,0.06591649823409718,0.047667013069859765,0.07217267524758397,0.04643086089953807,0.06337781017276867,0.04407989713948046
2015-03-31,0.003640818319228911,-0.013922578605601865,-0.014937473950113134,-0.01884652671613407,0.01609094865693894,0.01315384727106439,-0.014285710755766456,-0.01497296715396057
2015-04-30,-0.003448706505695842,0.019578241173215494,0.008709567261425466,0.013819303397051508,-0.027553899335498122,-0.01754361621389111,0.03646579882131462,0.06852723702238928
2015-05-31,-0.0043389064832114466,-0.03231117183086696,0.013170781609901372,0.012405260823947328,0.03610029707913909,0.007525346460474758,0.001954373182085023,-0.04104450635130341
2015-06-30,-0.0107784370119961,-0.00744126630692632,-0.017465122918531306,-0.020231687665129727,0.014304548465176925,0.0020640021701126,-0.047268719677372895,-0.036478732228024446
2015-07-31,0.008503852953676727,-0.002114611299674163,0.03050176452017106,-0.0023267583922919055,0.0023937208764406304,-0.03373866873003062,0.03754583851212834,-0.05612774003033816
2015-08-31,-0.003317040526096049,-0.0019263565762115409,-0.057776787709169275,-0.05305796229281001,-0.07404370565457763,-0.043660367821276025,-0.07425135877572298,-0.08836206247381562
2015-09-30,0.008020584316054569,0.00501821064831387,-0.02922731391860689,-0.03606486555677335,-0.0643903288004789,-0.03842066105320607,-0.04418874606286649,-0.031323727383565036
2015-10-31,0.0008533343675638516,0.004225411509532151,0.09053858993040942,0.08109173866494035,0.05821859201243673,0.05906059595354152,0.0661202488409518,0.06375838602696504
2015-11-30,-0.003983973437418187,-0.024096707876876233,0.0030666846829072725,0.004486999189023733,0.03687761468333606,0.029662376857159556,-0.0075276189582099695,-0.025236551499778437
2015-12-31,-0.005398810036997159,0.011757797119860802,-0.018935083962359545,-0.028588690112310133,-0.05103186321118591,-0.06078276182333753,-0.03182180408729485,-0.05295671127549206
2016-01-31,0.017949846803756886,0.0029052055878397987,-0.05320263571948802,-0.04645024457435176,-0.10331512177600488,-0.05896303580572293,-0.04687921631204561,-0.035526866715823835
2016-02-29,0.006767349768836306,0.03302467532608744,0.0,0.0,-0.008432309382285785,0.006052522917642689,-0.03334525153770751,-0.00817811100096344
2016-03-31,0.00882475229253088,0.04206379159138729,0.06341264117405987,0.06602637242999898,0.07402589204913168,0.0779734127710785,0.0658212678097887,0.12961750107374348
2016-04-30,0.002554401328259237,0.01524909523329998,-0.005561560948510014,0.027356225936393308,0.01300694871526309,0.02575972670426796,0.02221835100983771,0.004087606644989972
2016-05-31,0.0002899080135154719,-0.02686006423148679,0.01962358781488449,0.014669590257226028,0.027671571173550014,0.01786261976791792,-0.0008555796109045444,-0.036929185232613015
2016-06-30,0.019228379565220166,0.037770756802482985,-0.004364803397775452,0.008401176795860499,-0.004354621325390884,0.0043357680370310625,-0.04385081579321293,0.03743970673634056
